user_id,transaction_day,transaction_id,merchant_id,amount,currency,transaction_type,risk_score,merchant_category,timestamp,payment_method_type,metadata
13e5c517-db59-4c8f-a71d-5dd2cea7e491,2005-09-03,30a8516c-f936-48e7-b57e-a00b1774a964,c98f8fe1-0f9b-4a36-b5d3-8729d1787a2f,78986586.81,AUD,withdrawal,6,Restaurant,2024-10-06T20:52:57.532072,debit_card,"{'device_id': '4a6940c6-35fe-4e31-864a-1a81b49a602a', 'ip_address': '205.177.215.147', 'geo_location': {'lat': Decimal('-64.8580035'), 'lng': Decimal('-98.507089')}}"
7c43cd21-0423-4756-91b8-b22a59f0a653,1995-10-25,181eb1dc-4186-448b-b5d6-a64447b64e35,3cc130cb-8e0d-4498-b9f4-97dfef2ddb95,5628453.36,EUR,withdrawal,85,Health,2024-05-19T01:41:39.701348,debit_card,"{'device_id': '38cbda6f-3a03-4cc9-81d3-437bc991cf1b', 'ip_address': '181.218.81.97', 'geo_location': {'lat': Decimal('-54.001469'), 'lng': Decimal('-90.655939')}}"
877aa95d-8f49-4ae0-9807-e439591fc930,1999-07-18,6221c09d-2f7a-47f0-a444-6cd4e344e23e,aef87bfc-68ec-486e-a677-505d0af53ae7,96219886.81,CAD,deposit,50,Clothing,2024-09-08T04:49:46.716242,debit_card,"{'device_id': '8a7e021c-4217-4780-a712-b4e8e604707c', 'ip_address': '109.191.171.240', 'geo_location': {'lat': Decimal('39.319213'), 'lng': Decimal('-120.379757')}}"
13a68fa8-6e1c-40b6-9a44-64c519c2e6e9,1974-10-09,84c18706-ac6d-4fb4-95f3-b85ce97d3155,13de54ef-4373-496a-9c88-9fb5f311e2d5,80448565.87,EUR,withdrawal,85,Grocery,2024-07-15T17:31:23.631863,paypal,"{'device_id': '84ce6e57-d356-423c-96e3-d5c950cd6257', 'ip_address': '148.78.165.116', 'geo_location': {'lat': Decimal('37.5554555'), 'lng': Decimal('-31.044786')}}"
5700de5a-f44b-47c4-986d-928763305d5a,1976-05-12,d1a71e65-3bb8-423b-a133-3b96fb40427d,f2beb0dd-acae-46e9-b556-47b70aa05303,96527763.51,EUR,deposit,67,Travel,2024-04-23T04:14:27.254270,debit_card,"{'device_id': '59b6324e-5b2d-4dfc-ab4e-71bb8e9776eb', 'ip_address': '140.218.85.194', 'geo_location': {'lat': Decimal('-12.259466'), 'lng': Decimal('132.219606')}}"
847ccc26-cd0d-4456-9a90-99866a538f4a,2007-01-03,b1cf2505-a26d-4c9d-a3b4-5d8aec19ef4d,04180439-4326-4739-bc67-7fd8c78c313d,45117784.3,CAD,deposit,85,Restaurant,2024-04-02T05:45:53.129071,debit_card,"{'device_id': 'b4710060-2388-4549-ae85-a8326e77e128', 'ip_address': '59.11.233.90', 'geo_location': {'lat': Decimal('-6.001925'), 'lng': Decimal('-149.606181')}}"
78d40d70-f2b2-4737-8ea0-40b0d0ba1025,2011-11-17,b98e374f-094b-4ab4-ae3e-14dabfcf24b9,11cf5a66-3839-4a6c-8ebe-cf999f913df2,85945936.26,EUR,withdrawal,78,Entertainment,2025-01-04T21:57:59.956850,debit_card,"{'device_id': '0719dc93-5a66-4d7a-87ce-4f82dcd2d64f', 'ip_address': '29.132.189.43', 'geo_location': {'lat': Decimal('85.0646585'), 'lng': Decimal('-41.275524')}}"
3dec0487-b1ba-4e42-aa36-0782af577518,2003-10-11,55b5db84-94bb-4245-a481-394bf57985a5,84dd8c30-82e4-4a6f-88dc-670bc117e3f9,68526362.98,EUR,purchase,41,Restaurant,2025-02-04T14:04:31.557854,debit_card,"{'device_id': '2fcef350-a94f-41fc-930b-54c88c0b8fb0', 'ip_address': '135.92.64.233', 'geo_location': {'lat': Decimal('-54.4471765'), 'lng': Decimal('142.367693')}}"
f9c57131-5c48-4d72-91c5-12d6e47321d2,2015-02-19,7818bb10-ce33-4032-a098-59d308e21663,a6447bca-84eb-40f5-817c-26f2454971c0,32089078.47,EUR,deposit,78,Travel,2024-10-28T13:19:57.337106,credit_card,"{'device_id': '44dc74c6-1043-4c25-b131-6985956cd722', 'ip_address': '61.180.172.49', 'geo_location': {'lat': Decimal('-16.2551805'), 'lng': Decimal('172.972485')}}"
51d470ed-24f9-428d-a4f3-0ef259442928,1997-04-15,85158d2c-5029-44b8-87f9-829dc39e34e0,74351149-55e4-4a5c-8bd1-2f3f18cbcfd4,68267971.98,CAD,withdrawal,73,Health,2024-11-01T23:29:07.521696,credit_card,"{'device_id': 'd3fc7cb4-fc9f-414a-b725-a4552b2d77b6', 'ip_address': '182.164.77.203', 'geo_location': {'lat': Decimal('43.315765'), 'lng': Decimal('144.900126')}}"
